gene,mean_n_neighbors,mean_neighbor_popularity,specificity,any_neighbor
ZDHHC18,240.88,5692.0999885035935,0.6519657604094409,True
ENSG00000304862,222.96,5282.945666145733,0.6769828391228534,True
SFN,231.46,5200.4895401397725,0.6820244854699008,True
GPN2,336.84,5662.006029257949,0.6538058068322867,True
ENSG00000289554,265.54,5672.967995646522,0.653135555142371,True
GPATCH3,385.94,5417.449579607233,0.6687588150652868,True
NUDC,228.76,5787.001983689322,0.6461631315384089,True
TRNP1,253.74,5359.7365503561505,0.6722875848146652,True
SLC9A1,253.32,5692.35072950309,0.6519504292569189,True
WDTC1,427.24,5396.697960630559,0.6700276392154962,True
TMEM222,223.14,5842.050590937495,0.6427972735593094,True
ENSG00000304055,194.42,5933.659036032398,0.6371960234770775,True
SYTL1,269.86,5672.727799565153,0.6531502415429439,True
MAP3K6,277.44,5284.671963804288,0.6768772874470017,True
FCN3,226.4,5371.847422841214,0.6715470851212954,True
WASF2,388.38,5480.611726247761,0.6648968678540041,True
AHDC1,172.18,6150.330013493544,0.6239480273009144,True
FGR,254.1,5760.686576902446,0.6477721444877746,True
IFI6,154.66,5422.309312024267,0.6684616745934413,True
FAM76A,290.48,5956.157708561879,0.6358203785654614,True
STX12,346.98,5437.59969967172,0.6675267685923743,True
PPP1R8,274.44,5806.041246923567,0.6449990066081586,True
THEMIS2,287.22,5475.215903990303,0.6652267866713358,True
RPA2,385.9,5472.199993808792,0.6654111896173163,True
SMPDL3B,265.44,5306.401215824416,0.6755486875069143,True
XKR8,230.14,5625.538925073861,0.6560355288857316,True
EYA3,341.04,5557.606264022334,0.6601891614783042,True
ENSG00000289576,244.22,5504.4025316396755,0.6634422175701818,True
PTAFR,156.16,6035.561594297165,0.6309653565088862,True
DNAJC8,343.06,5684.0041552419725,0.6524607670289224,True
ATP5IF1,274.62,5678.043118169289,0.6528252449911777,True
ENSG00000270605,265.14,5511.130689428646,0.6630308352535221,True
SESN2,253.74,5299.255362830974,0.6759856091206986,True
MED18,189.82,6063.9515889268505,0.6292294962441547,True
PHACTR4,238.16,5995.780950526212,0.6333976795765079,True
RCC1,251.28,5778.872286237776,0.646660208728965,True
SNHG3,229.96,5880.4699134382045,0.6404481862770893,True
SNORA73B,280.16,5533.601561902847,0.6616568901312843,True
TRNAU1AP,366.3,5482.14389301642,0.6648031859971617,True
SNHG12,164.52,6222.6367600058065,0.6195269483334878,True
TAF12,281.04,5836.793465304298,0.6431187119960686,True
GMEB1,393.84,5578.449516348066,0.6589147345553001,True
YTHDF2,336.24,5692.753820492219,0.6519257829109006,True
EPB41,201.84,5456.754584731467,0.6663555741527687,True
SRSF4,319.94,5785.362595174152,0.6462633692953743,True
MECR,248.2,5809.91902757349,0.644761905987558,True
MATN1-AS1,157.46,6163.5358098637425,0.6231405802590191,True
LAPTM5,428.3,5324.794595801187,0.6744240540629052,True
ENSG00000309098,166.52,5817.183806031576,0.6443177128687512,True
SDC3,186.08,5260.867226975338,0.6783327895459897,True
PUM1,230.0,5907.03239358132,0.6388240664273115,True
SNRNP40,296.74,5657.114265432299,0.6541049058127606,True
ZCCHC17,362.14,5425.267599794023,0.6682807948765501,True
FABP3,206.92,5464.65601512525,0.6658724539819474,True
SERINC2,179.26,5254.757809213578,0.6787063400052842,True
TINAGL1,232.38,5409.89397548435,0.6692207902485876,True
PEF1,419.0,5343.601427912139,0.6732741407574356,True
COL16A1,324.24,5234.67678470453,0.6799341617423094,True
ADGRB2,137.64,5938.2538616763495,0.6369150803010486,True
SPOCD1,131.76,5397.391656896579,0.6699852242802459,True
ENSG00000269967,205.72,5916.601719893312,0.6382389654605128,True
PTP4A2,370.04,5641.084386477338,0.6550850268127584,True
KHDRBS1,298.9,5987.6799922343835,0.6338929995576653,True
TMEM39B,385.14,5571.693536354969,0.6593278180155935,True
KPNA6,364.38,5830.407733081016,0.6435091572558229,True
TXLNA,280.94,5773.836317658163,0.6469681248756856,True
CCDC28B,223.42,5907.225126405187,0.6388122820907864,True
IQCC,296.26,5623.801999197438,0.6561417304067602,True
TMEM234,410.7,5239.451489857091,0.6796422201249104,True
EIF3I,281.6,5885.576273358568,0.6401359661657862,True
FAM167B,217.92,5722.546631913525,0.6501041496842846,True
LCK,126.38,6252.214994753133,0.6177184350502517,True
HDAC1,341.64,5703.276443554433,0.6512823941574788,True
MARCKSL1,166.02,5809.290087994653,0.6448003614799968,True
TSSK3,254.18,5637.001683598566,0.6553346570713197,True
FAM229A,239.86,5401.297184814365,0.6697464270978682,True
BSDC1,402.34,5517.84982916947,0.6626200043308181,True
ZBTB8OS,239.68,5844.079956905815,0.6426731912622552,True
RBBP4,271.74,5823.708071378177,0.6439187972254248,True
NHSL3,261.66,5344.85131717601,0.6731977183016808,True
YARS1,194.66,6142.28617704935,0.6244398546591654,True
S100PBP,322.86,5623.34086381199,0.6561699257834308,True
TMEM54,265.94,5273.239484975361,0.6775763078584309,True
ENSG00000287691,195.22,5832.616302515285,0.6433741178529327,True
RNF19B,278.62,5423.835672701375,0.668368347740668,True
AK2,253.7,6038.0382784315625,0.630813923666673,True
AZIN2,182.32,6116.473292521606,0.6260181416984649,True
ENSG00000278997,308.94,5459.19602660111,0.6662062961417847,True
TRIM62,257.2,5811.314948075285,0.6446765546881513,True
ENSG00000279179,318.72,5433.605953590936,0.6677709597315233,True
ZNF362,287.86,5455.353498392052,0.6664412413089543,True
ENSG00000225313,143.32,5712.483608442383,0.6507194369646969,True
PHC2,179.16,5791.351795204778,0.6458971693546451,True
RN7SKP16,165.0,5394.266213778726,0.6701763244403103,True
ZSCAN20,292.58,5565.364889743014,0.6597147728680517,True
SMIM12,361.5,5545.161489441908,0.660950077074784,True
GJA4,258.84,5181.63326205474,0.6831774220694136,True
DLGAP3,307.52,5440.886267712561,0.667325816709718,True
GPR199P,276.56,5762.532900888162,0.6476592539964439,True
TMEM35B,287.48,5548.988035683911,0.6607161090991189,True
ZMYM6,237.04,5858.9860822976425,0.6417617803547757,True
ZMYM1,234.16,5785.096319366297,0.6462796502986061,True
SFPQ,307.6,5991.642904039627,0.6336506937303805,True
ZMYM4,253.68,5966.037315485175,0.6352163059929579,True
RPL5P4,339.78,5452.187015130172,0.6666348508021906,True
KIAA0319L,223.44,5764.877351686303,0.6475159063475204,True
NCDN,255.32,5869.928663303626,0.6410927139526978,True
TFAP2E-AS1,298.24,5600.270169848477,0.657580546019659,True
TFAP2E,298.36,5595.197248386152,0.6578907215905747,True
PSMB2,302.36,5753.142215697939,0.648233432241031,True
C1orf216,276.38,5590.375921316412,0.6581855138296293,True
CLSPN,197.94,5655.538939772294,0.6542012265501502,True
AGO4,172.74,5907.833892698716,0.6387750600612219,True
AGO1,312.54,5547.6270687749075,0.6607993232176761,True
AGO3,288.58,5772.177322752028,0.6470695614336883,True
