gene	n_merged_intervals	total_band_width	frac_holdouts_outside
HDAC1	1	11265.867985161482	0.0
MARCKSL1	1	12088.958760570698	0.0
TSSK3	1	1109.9758173274522	0.0
FAM229A	1	1714.0933892738303	0.0
BSDC1	1	14236.73529606437	0.0
ZBTB8OS	1	999.1300104361319	0.0
RBBP4	1	8497.48397207265	0.0
NHSL3	1	1174.43309627752	0.0
YARS1	1	19572.27750456636	0.0
S100PBP	1	3790.220979420694	0.0
TMEM54	2	732.3449629965216	0.0
ENSG00000287691	1	554.1237379594781	0.0
RNF19B	1	17753.78420029638	0.0
AK2	2	20332.86331043343	0.0
AZIN2	2	1337.6547917346643	0.0
ENSG00000278997	1	178.94423082488677	0.0
TRIM62	1	1758.2240695144628	0.0
ENSG00000279179	2	363.49764031868125	0.0
ZNF362	1	2076.8543441349516	0.0
ENSG00000225313	1	8191.8331807063	0.0
PHC2	1	144581.66231486466	0.0
RN7SKP16	1	904.020314660174	0.0
ZSCAN20	1	286.81233429365574	0.0
SMIM12	1	3656.7580033842414	0.0
GJA4	1	894.8358566529191	0.0
DLGAP3	1	449.06730762574074	0.0
GPR199P	1	543.4214109690158	0.0
TMEM35B	1	2324.7302857412446	0.0
ZMYM6	1	2500.9623016703317	0.0
ZMYM1	1	1171.8707124296263	0.0
SFPQ	1	24024.529275511588	0.0
ZMYM4	1	2833.6083407905708	0.0
RPL5P4	1	158.0289056774566	0.0
KIAA0319L	1	19459.942788767425	0.0
NCDN	1	3706.0708703358646	0.0
TFAP2E-AS1	1	398.1789915074687	0.0
TFAP2E	2	645.9968055740544	0.020000000000000018
PSMB2	1	6625.1231754554465	0.0
C1orf216	1	1399.535125832972	0.0
CLSPN	1	2160.1871853267335	0.0
AGO4	1	21425.76742913614	0.0
AGO1	1	8152.58831093569	0.0
AGO3	1	2301.76996869567	0.0
ADPRS	1	2679.322025828721	0.0
COL8A2	1	934.1145724396343	0.0
TRAPPC3	1	4488.55400676254	0.0
MAP7D1	1	24580.51678440285	0.0
THRAP3	1	13055.534268833158	0.0
SH3D21	1	8846.802617743753	0.0
STK40	1	35060.60223685285	0.0
LSM10	1	6797.620154996695	0.0
ENSG00000297367	1	141.10917795782606	0.0
MRPS15	1	5699.268039338679	0.0
CSF3R	1	1178994.0632925166	0.0
LITATS1	1	625.7214563124604	0.0
ZC3H12A	1	16974.437370517262	0.0
MEAF6	1	4066.5726888332	0.0
SNIP1	2	4200.379625256821	0.0
GNL2	1	3020.9649115404122	0.0
AIRIM	1	1120.6702928257691	0.0
CDCA8	2	4044.725916711872	0.0
MANEAL	1	204.26187580653004	0.0
YRDC	1	1899.318979618928	0.0
C1orf122	1	4200.8353342789205	0.0
MTF1	1	12424.149971426663	0.0
INPP5B	1	3631.181627543172	0.0
SF3A3	1	7798.748280320763	0.0
FHL3	2	14908.821667277807	0.0
UTP11	1	1482.056877633952	0.0
RRAGC	1	6053.768289656115	0.0
MYCBP	1	3114.471206156544	0.0
AKIRIN1	1	5492.85790461974	0.0
NDUFS5	1	5734.487377863627	0.0
MACF1	1	25586.246924324547	0.0
BMP8A	1	597.3908329909333	0.0
PPIEL	1	1254.0969727828435	0.0
PABPC4	1	8866.174464176149	0.0
HPCAL4	1	1457.8420185758864	0.0
PPIE	1	5243.06457617211	0.0
BMP8B	1	736.7934097098862	0.0
ENSG00000284719	2	284.91705146449345	0.0
TRIT1	1	959.2528897741532	0.0
MYCL	1	1802.8494656877472	0.0
MFSD2A	1	2975.380370202495	0.0
CAP1	1	157583.2356451914	0.0
PPT1	1	78262.55758719909	0.0
RLF	1	21405.18513768568	0.0
ZMPSTE24-DT	1	538.6339081972122	0.0
ZMPSTE24	1	6288.026472247937	0.0
COL9A2	1	38365.8439872007	0.0
SMAP2	1	225524.09627237648	0.0
ENSG00000296912	1	4587.654062280237	0.0
ZFP69B	1	150.40904448125195	0.0
