gene,mean_train,max_train,uncov_k0.1,hin_rate_k0.1,n_intervals_k0.1
GNAQ,4099.1287880520085,15351.796233175492,0.22406090489593533,0.98,9
NDUFB9,1793.418248293269,5450.097082642373,0.22405256802377382,0.98,11
TBC1D13,1181.8047468461957,3097.8502597975553,0.2240059543879156,1.0,14
ZNF417,234.82549175265882,1069.585394376263,0.22399097088097486,0.96,16
LINC01786,30.445720165840946,178.91110574890735,0.22398171869110672,0.96,9
SMIM29,729.0673327120132,1832.0353168547804,0.22393587848507823,1.0,12
COX4I1,7361.007916303723,17728.481212608665,0.22392682939589947,0.98,12
ATG4C,181.11964366744786,728.0448325148144,0.2239226526006053,0.98,11
CYP1B1-AS1,441.0255093295483,3926.3317714655163,0.2238759485600258,0.98,23
NBPF3,103.48090227501974,582.2819052180569,0.22378255641424116,0.96,18
GALK1,1840.807205050602,7889.39668486946,0.2237745609677827,0.96,8
MAGED2,2161.4165781182587,6433.840061894286,0.22377452577765933,1.0,10
ZNF583,30.24198176680482,143.79255521268232,0.22376305949720077,0.96,7
CLEC5A,656.851795636779,4281.155438731398,0.22372811523450664,0.96,22
ENSG00000306533,22.347226508475547,131.44586520991567,0.2237174070005149,0.96,8
CMPK1,1493.8234228290523,6712.888978030208,0.22369462781663207,0.94,20
PI4KB,3286.9991322022493,6106.883820799989,0.22365978625031246,0.98,9
NACA,16408.46248122275,39903.09183274292,0.2236563364787565,1.0,8
FAM3A,1339.1560512527792,3380.6413943867747,0.22360234942719548,1.0,7
CTC1,3559.7482123369223,14075.827943122582,0.22360050795036968,0.98,13
HUWE1,3871.4958238746576,15888.124513015999,0.2235447339221237,0.96,13
CEP164,875.6691878488481,2728.4755294869515,0.2235383631690333,1.0,11
LTB4R,8087.019921705002,24251.641223586845,0.22353003447286635,0.98,9
ENSG00000226180,21.786544466425998,125.60735757421735,0.22350059800776678,0.94,8
PIM2,5382.954952990711,20915.01506034721,0.22349995215931373,0.98,10
SRFBP1,75.89713205494454,364.74209127119417,0.2234921853713122,0.92,14
PSMD9,1587.296333650157,3123.2955372759593,0.2234644986209876,1.0,7
TRABD2A,507.2201220601021,3367.72685714581,0.22345962238250472,0.98,23
NARF,9562.17074025336,27490.550920226324,0.2234584122588179,1.0,10
ENSG00000286276,45.93441499063943,306.9571345922125,0.22345710189273682,0.98,10
LRRC75A,248.0782850243415,1180.8742356360567,0.2234317018233518,1.0,15
HNRNPK,15049.876912637972,25203.76900397848,0.22342315299847493,1.0,7
ZDHHC12,1938.3843447515696,7590.787340109297,0.2233961903699373,0.98,12
MBD2,4090.3468786746266,8675.94710874948,0.22337988610304904,0.98,8
REX1BD,1031.1341557308542,3733.836649491637,0.22337801942733315,1.0,11
SPAG5-AS1,43.12165246633132,140.10803703589127,0.22336434478370237,0.96,9
ZNF135,58.371518993967065,315.4079407383755,0.22334079499859316,0.98,14
LINC02967,1395.7366687301135,6920.163695614941,0.2233074848921639,0.98,29
SELENBP1,8393.64672781921,68629.96168814108,0.22328998040521042,0.94,41
CPT1A,2488.6402521695486,8194.047051168682,0.22324983301715262,1.0,8
RABL2A,193.55899282537794,819.7929214869389,0.2232489812488062,0.98,15
VPS16,2672.0865529881103,6514.3761738481935,0.22324825491887212,0.98,14
CTTNBP2NL,90.61575898918466,499.4962699645676,0.2232029601468084,0.98,21
DOLK,116.04560474500295,578.8977110360239,0.22320292364428773,1.0,13
DHX40,972.0016135760274,2730.749632182918,0.22319774562744243,1.0,15
CCND3,20908.360269674053,47630.062045136256,0.223152862682665,0.98,15
