holdout,K,set_size,tuple_first5,genes_first10
23,1,101,"(436,)",ENSG00000250575;LINC01134;ENSG00000285646;EPHB2;RPL5P4;AK4;PTGFR;CLCA4-AS1;TMEM167B-DT;RBM15-AS1
23,1,99,"(702,)",WASH7P;ENSG00000292993;MDS2;ACOT11;CACHD1;SLC16A4;ENSG00000307137;H2BC18;XCL2;LINC03108
23,1,85,"(3,)",ENSG00000238142;ENSG00000233478;ANGPTL3;SERBP1;ENSG00000287978;APCS;CRP;SLAMF9;ENSG00000289341;ENSG00000307150
23,1,78,"(534,)",ZSCAN20;EFNA3;LMNA;OR10Z1;LINC02803;LINC01353;DYRK3;LINC00467;ENSG00000269934;PRORSD1P
24,1,92,"(568,)",ENSG00000292994;ALPL;LINC02596;COL16A1;RPL5P4;CRYZ;CLCA4-AS1;ENSG00000288803;SPTA1;LINC02818
24,1,90,"(54,)",NMNAT1;PPCS;BSND;PCSK9;ANGPTL3;TMOD4;KCNN3;BGLAP;ENSG00000301529;ENSG00000293219
24,1,74,"(667,)",ECHDC2;LEPROT;USP33;UBQLN4;LINC01036;PHLDA3;BTG2;ALMS1;USP39;TMEM87B
24,1,71,"(690,)",MTATP6P1;CROCC;TRNAU1AP;TAF12;DPH2;PRDX1;CELSR2;MOV10;PIAS3;CSRP1
24,1,71,"(2,)",PTGFR;DRAM2;RAP1A;ENSG00000310005;C2CD4D-AS1;FLG;FLG2;S100A6;ENSG00000298116;DISP1
25,1,142,"(103,)",MORN1;ELOA-AS1;FCN3;SH3D21;MED8-AS1;PODN;LEPR;AK5;FNBP1L;F3
25,1,87,"(686,)",ENSG00000250575;MTCO3P12;KCNAB2;MACO1;ZNF362;SSBP3-AS1;EXTL2;ENSG00000279430;NAV1;COA6-AS1
25,1,75,"(224,)",ENSG00000293187;SFN;RPL5P4;TPI1P1;LAMTOR5-AS1;PDE4DIPP2;H2AC19;PRRC2C;MIR181A1HG;LIPT1
25,1,71,"(3,)",ZBTB48;ENSG00000233478;FAM167B;ANGPTL3;OVGP1;H3-7;APCS;SLAMF9;ENSG00000287218;FMO3
25,1,67,"(308,)",AGRN;C1orf159;GFOD3P;PARK7;RAD54L;CTH;H2BP1;PDE4DIPP6;H3C13;IQGAP3
26,1,62,"(625,)",AGRN;RERE;NSUN4;RAVER2;DCLRE1B;HIPK1;THEM5;DCAF8;LINC02803;PPP1R15B
26,1,62,"(394,)",ECE1;ZCCHC17;RPL7P9;GNAT2;LRIF1;H2AC20;SPRR3;RAB29;TLR5;FEZ2
26,1,62,"(628,)",MAST2;NBPF11;RGS1;IRF6;EPHX1;AFTPH;PRKRA;HECW2;HJURP;XPC-AS1
26,1,59,"(165,)",WASH7P;NPPA;ZBTB17;DDOST;POLR3GL;ENSG00000225871;NBPF19;FCGR2B;ATP1B1;KIF21B
26,1,59,"(743,)",SDF4;ENSG00000235105;ODF2L;LRRC8C-DT;PIP5K1A;PUM2;RBKS;PAX8;KCNH7;CNOT9
27,1,77,"(290,)",TMEM240;ENSG00000272449;ENSG00000226396;MUL1;STX12;ANGPTL3;CAPZA1;ENSG00000271680;TPO;VPS54
27,1,71,"(566,)",PINK1;CNKSR1;VCAM1;ENSG00000258634;SYT2;ENSG00000286360;IGKV3D-20;ENSG00000283994;CCL20;ENSG00000288703
27,1,65,"(576,)",TNFRSF4;ATAD3A;CTNNBIP1;PUM1;PPCS;SF3B4;TIPRL;COP1-DT;TPR;BPNT1
27,1,64,"(454,)",FGR;CZIB;MIER1;SNX27;SNRPE;TP53BP2;LINC00570;ATRAID;IL18R1;FHL2
27,1,63,"(330,)",CAMTA1;PITHD1;UBXN11;FAAH;ST6GALNAC3;SLC22A15;MINDY1;DUSP23;FCMR;SDE2
28,1,121,"(276,)",PINK1-AS;WNT4;AUNIP;GNL2;ENSG00000290578;ENSG00000291233;CKS1B;TTC24;ENSG00000269887;SLC19A2
28,1,116,"(58,)",ENSG00000287356;NPPA;FHL3;HIVEP3;KCNA2;TMOD4;HCN3;COLGALT2;EDARADD;FAM228B
28,1,108,"(67,)",SLC25A33;PITHD1;SPOCD1;CMPK1;NAP1L4P1;NBPF8;LIX1L-AS1;NTRK1;APOA2;RPS27P8
28,1,56,"(3,)",ANGPTL3;AP4B1;NBPF12;APCS;CRP;SLAMF9;ENSG00000298662;ENSG00000300661;SNORD89;ZBTB20-AS1
28,1,55,"(495,)",CPLANE2;CNKSR1;ENSG00000227193;PFN1P1;ENSG00000302070;ENSG00000270210;RMDN2;SCRN3;ENSG00000273361;STK32B
29,1,83,"(88,)",MPL;SCP2;GADD45A;H3C13;OR10Z1;ILDR2;ENSG00000271680;ENSG00000287126;ENSG00000298662;IGKV3D-20
