n_train,holdout,set_size,genes_first10
300,21,10,LCK;CD2;CD247;SIDT1;TRBC1;IKZF3;SKAP1;MATK;CD320;NFATC2
300,21,8,LAX1;PCBP4;TXK;CARD11;ZNF853;APBA2;TNK1;TAF5LP1
300,31,8,ZRANB2;SMAD5;MTO1;AKAP11;RCBTB1;TRPM7;ZNF507;ZBTB33
300,31,8,SLC35A3;SEPSECS;ZNF131;CWC27;TMEM161B;SHLD2;SLC2A13;HCFC2
300,31,6,ZBTB41;THAP12;CUL5;UFM1;UBE2Q2;UPRT
300,34,4,DES;CMYA5;CKM;EEF1A2
300,34,3,ACTA1;TPM2;MYOZ1
300,34,3,MYL11;MYBPC2;TNNC2
300,36,6,CLSPN;EXO1;CDC25A;MELK;TICRR;ORC6
300,36,5,DEPDC1;CENPF;NCAPG;CDK1;TUBG1
300,36,4,KIF2C;KIF15;NCAPG2;TOP2A
300,37,17,SRRM1;SLC25A36;FYTTD1;G3BP2;RAPGEF6;TCERG1;HNRNPH1;DPY19L4;SLC16A7;NAA16
300,37,9,PNRC2;TMEM170B;RNF19A;ARL5B;SGMS1;TMEM123;MED13;TAB3;PHF6
300,37,6,CEP170;KCTD9;OTUD6B;CDK17;STRN3;TENT4B
300,39,15,FABP3;TNNI1;TNNC1;TRDN;LDB3;TNNI2;TNNT3;MACROD1;MYL2;ENO3
300,39,7,HSPB7;FLNC;CRYAB;PPP1R27;JSRP1;HSPB6;EEF1A2
300,39,5,MYL1;MYOZ1;PACSIN3;MYL11;MYBPC2
300,42,4,MYOZ1;LDB3;SLN;MYH2
300,42,4,ACTN3;MYL11;MYBPC2;TNNC2
300,42,3,ACTA1;ATP2A1;CKM
400,1,6,AGMAT;FABP1;MPC1;HIBADH;RIDA;PEBP1
400,1,5,ADI1;PHYHD1;PRAP1;CYB5A;APOC1
400,1,4,ECI2;ECHS1;GLYATL1;HPD
400,3,3,HSPD1;BAG3;DNAJA4
400,10,10,HP1BP3;HACD2;CAMK2D;WASL;SGMS1;NAA16;EIF3J;DUT;POLR2M;ADNP2
400,10,10,R3HDM1;OTUD4;AKAP9;WWP1;BMI1;CREBZF;ICE2;ARIH1;ARFGEF2;PAXBP1
400,10,8,LRRC58;SLC25A36;DCUN1D4;TMEM135;ATP2B1;TMPO;TPP2;TCF12
400,16,3,MYOZ1;TCAP;CKM
400,20,7,PRKACB;CCDC66;SPICE1;PAQR3;USP45;ANKIB1;ZNF26
400,20,6,UHMK1;BMI1;ATAD1;VEZT;HCFC2;PABIR2
400,20,6,SEPSECS;HELQ;MATR3;ALG10B;ZNF569;ENSG00000291100
400,21,12,LCK;CD2;CD247;ZAP70;SIDT1;CARD11;PRKCQ-AS1;CD5;KLRK1-AS1;BCL11B
400,21,6,ITPR3;EEIG1;TESPA1;EVL;ENSG00000290927;HAUS5
400,21,4,LIMD1;ADAT2;AP3M2;RNF125
400,31,13,MAN1A2;DNAJC10;TRNT1;HACD2;MTREX;CAAP1;TRUB1;THAP12;GTF2H3;ATP6V0A2
400,31,6,FAM76A;SRFBP1;RECQL;ELK3;MAPKAPK5;SS18
400,31,6,VAMP4;MBLAC2;VPS36;NAA30;MOSMO;ZNF507
400,34,3,ACTA1;DES;LMOD3
400,34,3,MYL2;CKM;MB
400,36,3,CENPF;CDCA2;DLGAP5
400,36,3,HJURP;KIF20A;TOP2A
400,37,5,CAMK2D;CD2AP;SGMS1;SLC16A7;POLR2M
400,37,4,CMPK1;NAA16;UBE2Q2;PAXBP1
400,37,4,FYTTD1;PPAT;TMEM135;TCF12
400,39,6,TNNI1;TNNT3;MYL2;ADSS1;TCAP;TNNT1
400,39,6,LDB3;TNNI2;MYL11;CKM;TNNC2;MB
400,39,4,SYNPO;PYGM;RPL3L;SRL
400,42,4,ACTA1;TPM2;MYOZ1;CKM
400,42,4,TNNI2;ATP2A1;MYBPC2;TNNC2
500,1,6,AGMAT;FABP1;MPC1;HIBADH;RIDA;PEBP1
500,1,4,ADI1;PRAP1;CYB5A;APOC1
500,1,4,ECI2;ECHS1;GLYATL1;HPD
500,3,3,PTPRC;ZFYVE16;FAR1
500,10,8,HACD2;RYK;OTUD4;WASL;WWP1;NAA16;BTBD1;PRELID3B
500,10,5,NDC1;DLG1;AKAP11;EIF3J;TCF12
500,10,5,SRSF11;CEP170;CAPN7;ATP8A1;RAB12
500,20,5,UHMK1;BMI1;ATAD1;VEZT;HCFC2
500,20,4,FAM76A;NBPF12;ENSG00000291207;MAPKAPK5
500,20,4,EFCAB14;PRP4K;NT5DC1;THUMPD1
500,21,6,LCK;CD247;ZAP70;SIDT1;CARD11;PLCG1
