gene,train_mean_count,train_obs_sd,predicted_sd_tech,obs_sd_over_tech_sd,n_merged_intervals,total_band_width,frac_holdouts_outside
ARCN1,3909.188883049853,1147.8460320771599,550.8462945876253,2.0837864270948048,1,11805.07550604529,0.0
PHLDB1,68.5491988019018,77.7893500213857,12.674756599911568,6.137344682573899,1,952.0961665658506,0.0
ENSG00000255422,49.11507411467579,45.49408885069198,9.81814483588227,4.633674651490699,1,399.6240448656563,0.0
DDX6,4729.374731479603,1916.7772201143082,665.6743104599515,2.879451993257634,1,15391.511118290908,0.0
ENSG00000278376,32.70311587762453,15.480801214672672,7.32565315343889,2.113231529041953,1,119.3951973057101,0.0
CXCR5,51.60009531908623,53.41830515422343,10.187564189887905,5.243481577985641,1,509.5314761154511,0.0
CENATAC,544.2609596196445,255.56223208863122,79.68797152691951,3.2070364848263124,1,2838.364798004353,0.0
MCAM,160.83314659995165,171.4596803332415,25.842450485329092,6.634807346562592,2,3114.7017116856914,0.0
RPS25,9372.338408546555,5684.012158721412,1315.6939584862275,4.3201628479476755,1,39732.136739323396,0.0
TRAPPC4,734.3526072697694,271.7606755467322,106.32082647640758,2.556043670400131,1,2590.0676596720164,0.0
SLC37A4,288.99256643311026,148.3698511511068,43.88530453493043,3.3808549974402498,1,1414.186721643281,0.0
HYOU1,1898.96167909488,1543.092283808837,269.4023917285136,5.727834388953259,1,12291.880141908976,0.0
VPS11,1860.1607486871112,665.0530397104387,263.96977433681406,2.519428754224943,1,6682.838890098022,0.0
HMBS,2577.891950587017,3773.026675832633,364.4588033853116,10.352409218234,2,72829.46675708654,0.0
H2AX,886.1178648205045,697.4599335766126,127.57794999042697,5.4669316573040065,1,10337.661093360934,0.0
DPAGT1,618.9182165302007,334.92598117564773,90.14926227145466,3.7152381809529293,1,4273.155151138272,0.0
C2CD2L,1346.2505409043106,543.655024269823,192.0132930581975,2.831340557786518,1,4184.826345716615,0.0
HINFP,785.9445770287834,300.6828250850714,113.54751687722401,2.648079265442607,1,3061.7875151536127,0.0
NLRX1,1404.328339837402,1058.949192244158,200.145534116599,5.290895931893463,1,6485.228930374663,0.0
NHERF4,23.918562574366998,22.085545020707738,5.927198008553082,3.726135855228354,1,209.40897050630298,0.0
DRC12,58.4249978251776,32.996415920750394,11.195053063486075,2.9474104082964927,1,386.39037422404846,0.0
CD3E,7602.630316680102,7606.066916941408,1067.9337010629015,7.122227633954412,2,57161.66453072398,0.0
MPZL2,106.13552060916578,98.17260711763413,18.081056269331928,5.429583629146102,2,1587.0886850461861,0.0
MPZL3,3243.3911495363423,1688.338018902968,457.63225374507164,3.689289828429516,1,14161.159089877152,0.0
HSPE1P18,27.932398712978713,28.39697770733115,6.574548586104653,4.319228512106266,1,338.81107841817044,0.0
ENSG00000302894,29.41279493875781,22.970580359829615,6.809478692124852,3.3733243612899537,1,233.8133685120229,0.0
NNMT,386.0270870157242,1774.1308178917986,57.504422094728476,30.852076297179867,1,33987.020716693325,0.0
C11orf71,130.06608394855567,66.80916334484117,21.485877532586965,3.109445413319227,1,551.2796923380592,0.0
RBM7,681.3824384494184,255.1980180057372,98.90050644978527,2.580350972573723,1,2403.51591656966,0.0
REXO2,486.26251059702,464.58208627859204,71.55911264929516,6.492284058292722,1,9291.28303637345,0.0
CADM1,72.35003092377576,99.62581578212023,13.226744105309267,7.53214963477898,1,1725.4403689633552,0.0
BUD13,653.5286280761956,182.03446473703298,94.99832690786309,1.9161860072923647,1,2562.612060364108,0.0
ZPR1,975.2093076875531,467.54606057898326,140.0552030671339,3.338298401915638,1,3583.9031556891446,0.0
APOC3,920.53400269722,6009.948660768943,132.39802817672106,45.39303752127666,2,127947.64441241664,0.0
APOA1,142.77312717520675,849.1659014302311,23.287395253776385,36.464614963432915,2,19876.527725046435,0.0
SIK3,3480.86205380626,1361.4517163282335,490.879124175516,2.773496873828027,1,12341.642889704044,0.0
