gene,mean_train,max_train,uncovered_fraction,covered_within_total,n_clipped_intervals,holdout_inside_rate,holdout_above_rate,tight_and_holdout_all_in
NSD2,1092.1465979803233,10122.884204588156,0.008406702171516622,10037.784131963434,1,1.0,0.0,False
NELFA,731.177665963465,2224.4101546715956,0.04708537879728936,2119.6729599383466,1,1.0,0.0,False
NICOL1,159.0687966077174,1169.2177018377238,0.0007327058500240513,1168.3610091876355,1,1.0,0.0,False
HAUS3,225.964225479106,1089.8205193022268,0.006134686655723032,1083.1348119053303,1,1.0,0.0,False
MXD4,3248.831455206536,10100.109389393452,0.0473265467726095,9622.10608996785,1,1.0,0.0,False
ENSG00000303113,37.68293448681287,191.0065547880918,0.0,191.0065547880918,1,0.98,0.02,False
ZFYVE28,563.4815330802115,3355.825729936301,0.0030397349934234708,3345.6249090331826,1,1.0,0.0,False
RNF4,2666.5930614941844,6384.641005583634,0.05498312066215827,6033.5935187890655,1,1.0,0.0,False
FAM193A,1441.0255170843873,3150.0948810244063,0.044015878408856346,3011.4406877648753,1,1.0,0.0,False
TNIP2,1702.3652785475979,3401.391721269466,0.05808276816041125,3203.8294745002295,1,0.98,0.02,False
SH3BP2,16208.298767284128,33730.32038731172,0.06715909615284832,31465.022557153876,1,1.0,0.0,False
ENSG00000299505,19.09425189492771,156.6856013349961,0.0,156.6856013349961,1,1.0,0.0,False
ADD1,10202.493495273386,22937.72234202493,0.1206223339920629,20170.920736667995,1,1.0,0.0,False
MFSD10,4242.128578365511,17212.190282825228,0.03617494120265119,16589.54031137518,1,1.0,0.0,False
NOP14-AS1,441.60309917519874,1350.8131214509165,0.030565391850559398,1309.5249890768919,1,1.0,0.0,False
NOP14,560.0896861519382,2558.4553421378478,0.014922341159138042,2520.2771986820476,1,1.0,0.0,False
GRK4,31.70508518076566,158.6978810578994,0.0,158.6978810578994,1,1.0,0.0,False
HTT,2629.899459272189,9453.953565823396,0.03506988911004538,9122.404462618451,1,1.0,0.0,False
RGS12,282.0492285353771,2256.2453500421484,0.005230176331136982,2244.44478901512,1,1.0,0.0,False
DOK7,42.88998072065468,364.8742523317903,0.0,364.8742523317903,1,1.0,0.0,False
LRPAP1,10808.679351491523,31100.43008128172,0.04221221499646044,29787.61204020827,1,1.0,0.0,False
TMEM128,176.20426539269593,637.7864181064695,0.0073876701518055254,633.0746624221973,1,1.0,0.0,False
LYAR,665.570669396061,2671.655678209979,0.025303883841637065,2604.052413263704,1,1.0,0.0,False
ZBTB49,222.34255022253794,727.8685997274608,0.025443268295020305,709.3492436610743,1,1.0,0.0,False
NSG1,161.2934040826568,1238.7914829054841,0.0,1238.7914829054841,1,1.0,0.0,False
STX18,621.2712904978081,2167.172602900263,0.03371420940221248,2094.1080919553456,1,1.0,0.0,False
STX18-AS1,68.41245383664148,523.4608057955808,0.0,523.4608057955808,1,1.0,0.0,False
CYTL1,37.03885367469495,266.67901630761696,0.0,266.67901630761696,1,1.0,0.0,False
STK32B,36.14188080128018,1005.6925005949284,0.49139323511286015,511.5020091988445,2,1.0,0.0,False
EVC2,29.126655030478467,290.0440413753288,0.0,290.0440413753288,1,1.0,0.0,False
EVC,29.389660931193507,219.3545434602543,0.0,219.3545434602543,1,1.0,0.0,False
JAKMIP1,21.470075444282198,185.90599848875397,0.0,185.90599848875397,1,1.0,0.0,False
WFS1,121.24936712946548,720.2156504548241,0.0,720.2156504548241,1,1.0,0.0,False
MAN2B2,2910.9185317009424,7626.645760125811,0.04735047145459992,7265.520487766628,1,1.0,0.0,False
MRFAP1,4204.186120722786,8395.713262640107,0.12245033766079005,7367.655338726653,1,1.0,0.0,False
MRFAP1L2,348.1362761436875,1458.0915812115286,0.005628679226931554,1449.8844514173995,1,1.0,0.0,False
LINC02481,108.07462932578332,768.1587453687655,0.0,768.1587453687655,1,1.0,0.0,False
S100P,10809.299982316628,52995.84812990406,0.006554041292870183,52648.51115290999,1,0.98,0.0,False
MRFAP1L1,726.3568346844737,2641.1472075328993,0.012946784363264463,2606.952844165333,1,1.0,0.0,False
BLOC1S4,289.29610594728854,762.0111594811203,0.04096551639906387,730.7949788311269,1,1.0,0.0,False
KIAA0232,2683.4410295526936,8784.884243439388,0.03273411512820901,8497.318831226654,1,1.0,0.0,False
TBC1D14,1289.5068789927568,5659.116285332482,0.01461712636442103,5576.3962674788245,1,1.0,0.0,False
ENSG00000287104,96.13052300895133,325.7343442177741,0.011384597473287905,322.0259898256293,1,1.0,0.0,False
CFAP184,37.00533650693449,127.28817793379378,0.0,127.28817793379378,1,1.0,0.0,False
TADA2B,2266.8637575623347,5453.181315499296,0.053885110590208174,5159.33603724516,1,1.0,0.0,False
GRPEL1,1389.8068567986832,5665.639949911317,0.022307704770398118,5539.252526573322,2,1.0,0.0,False
SORCS2,83.7622601546798,1187.6667522707596,0.0,1187.6667522707596,1,1.0,0.0,False
ENSG00000299251,20.688608652593167,298.24077078308034,0.018139231757106633,292.83091232242793,2,1.0,0.0,False
AFAP1,55.14863694048546,297.01344772747416,0.0,297.01344772747416,1,1.0,0.0,False
ABLIM2,49.70469596297109,2764.917930272406,0.018381474766444805,2714.094661105813,2,1.0,0.0,False
SH3TC1,3231.721306427726,16754.37756886481,0.014533160933629996,16510.883503313697,1,1.0,0.0,False
HTRA3,243.3041555172734,2084.4148577332503,0.0,2084.4148577332503,1,1.0,0.0,False
ENSG00000251615,62.32233712196861,341.0062576579731,0.0,341.0062576579731,1,1.0,0.0,False
ACOX3,331.6826438324076,945.3970416258518,0.033985666634244405,913.2670929321547,1,1.0,0.0,False
TRMT44,167.81046874577189,626.0236854991169,0.011138988369307823,619.050414947431,1,1.0,0.0,False
ENSG00000205959,19.15197538163512,109.91142620538774,0.0,109.91142620538774,1,1.0,0.0,False
SLC2A9,248.51816746480614,1260.3147324068466,0.005886577536186821,1252.8957920145351,1,1.0,0.0,False
SLC2A9-AS1,54.566887798929045,1412.1124992593766,0.21165875288071556,1113.2265287388666,2,1.0,0.0,False
WDR1,20643.86006987009,79437.87333830529,0.034235328622941874,76718.29163946077,1,1.0,0.0,False
ZNF518B,295.22972294376507,1053.8942156441717,0.024158688247499116,1028.4335138425815,1,1.0,0.0,False
HS3ST1,25.857671393584624,300.8210041020334,0.0,300.8210041020334,1,1.0,0.0,False
RAB28,219.6951836990892,742.4475987155511,0.012838617988879975,732.9155976188808,1,1.0,0.0,False
BOD1L1,2976.089727254763,12351.57151695936,0.018281582120485806,12125.765247955014,1,1.0,0.0,False
CPEB2,610.7476685161417,3329.496502159999,0.007386788080137263,3304.902217084985,1,1.0,0.0,False
CC2D2A,67.39085883657901,546.0903805729621,0.0,546.0903805729621,1,1.0,0.0,False
ENSG00000273133,83.11758968480135,693.1894281192011,0.0,693.1894281192011,1,1.0,0.0,False
FBXL5,16657.72330121818,46181.9917282056,0.03205928809348524,44701.4299506601,1,1.0,0.0,False
ENSG00000305512,201.0458681923742,1282.4087588125112,0.0031596046184282356,1278.3568541754544,1,1.0,0.0,False
FAM200B,927.1036846119733,2527.402589558708,0.05415156968455881,2390.539772109285,1,1.0,0.0,False
ENSG00000294387,25.781589902138276,104.92163563355285,0.0,104.92163563355285,1,1.0,0.0,False
BST1,5922.39984640645,18347.56963323464,0.03561801853609525,17694.065557945793,1,1.0,0.0,False
ENSG00000214846,261.3906351805971,2021.6081974788283,0.0009274994165244799,2019.7331570552255,1,1.0,0.0,False
