geneid,chrm_probe,s1,s2,log2FC,mean_expr
EVC2,4,5564146,5711275,0.03765257001887079,5637710.5
WDR90,16,699363,717829,0.037598683698245594,708596.0
FLJ45445,19,197016,202209,0.0375342245431014,199612.5
CTNNA3,10,67679725,69455949,0.03737456138741635,68567837.0
KIAA1432,9,5629327,5776556,0.03724714854799771,5702941.5
DLG2,11,83166056,85338314,0.03719879111045543,84252185.0
PDE4D,5,58264866,59783925,0.037131423471162606,59024395.5
SHISA9,16,12995477,13334273,0.03712957779229242,13164875.0
GRK4,4,2965343,3042474,0.03704593148921376,3003908.5
PTPRS,19,5205519,5340814,0.037017624472373,5273166.5
NPAS3,14,33408459,34273382,0.036875120446268284,33840920.5
TRIO,5,14143829,14509458,0.03682088839604347,14326643.5
RNH1,11,494512,507273,0.03675677020806134,500892.5
NBAS,2,15307032,15701454,0.03670358612037461,15504243.0
CRK,17,1325458,1359544,0.03663185989151785,1342501.0
INSR,19,7112266,7294011,0.03640308810523507,7203138.5
SLX1A+SULT1A4+SLX1A-SULT1A3+SLX1B+SULT1A3+SLX1B-SULT1A4,16,29465822,30215650,0.036253463235858874,29840736.0
LAMA1,18,6941886,7117813,0.03610635220842795,7029849.5
ATG7,3,11314010,11599139,0.035907364213127124,11456574.5
PDPK1,16,2587970,2653189,0.035906542383546736,2620579.5
LOC613038+LOC388242,16,29476289,30218248,0.035865113115452374,29847268.5
OSBPL5,11,3108346,3186582,0.03586267084773098,3147464.0
EBF4,20,2673524,2740754,0.035830201989789146,2707139.0
FHIT,3,59735036,61237133,0.03582938550723114,60486084.5
BOLA2+BOLA2B,16,29464914,30205627,0.03581927738214574,29835270.5
LOC606724+CORO1A,16,29460666,30200575,0.03578597171732767,29830620.5
ODF3L2,19,463346,474983,0.03578588578006503,469164.5
ATP8A2,13,25946209,26595420,0.03565405725672477,26270814.5
ST5,11,8714899,8932498,0.03557973720373653,8823698.5
TAF3,10,7860673,8056714,0.03553870302270212,7958693.5
NTN1,17,8924859,9147317,0.03551926775314129,9036088.0
NRSN2,20,327370,335512,0.03544214005032842,331441.0
RBMS3,3,29322803,30051886,0.03543251449986684,29687344.5
LOC100134368,16,432241,442960,0.03534042142162619,437600.5
ALK,2,29415640,30144432,0.0353081187943296,29780036.0
ANKFY1,17,4066665,4167274,0.03525780170782511,4116969.5
TTC28,22,28374002,29075853,0.03525186619994258,28724927.5
PRKG1,10,52750945,54055274,0.0352384442772653,53403109.5
LETM1,4,1813206,1857974,0.03518745369204268,1835590.0
ABCA7,19,1040102,1065570,0.034900320864853285,1052836.0
SIRPA,20,1874813,1920540,0.03476528990838901,1897676.5
FLJ22536,6,21666675,22194616,0.03473197421394403,21930645.5
ABLIM2,4,7967037,8160559,0.03462470119417915,8063798.0
RNF126,19,647526,663233,0.034577616730498306,655379.5
NCAM2,21,22370633,22912517,0.03452987014143716,22641575.0
NLRP6,11,278570,285304,0.034459953250738806,281937.0
TYMS,18,657604,673499,0.03445667731308433,665551.5
SUMF1,3,4402829,4508966,0.03436581060224597,4455897.5
LDB2,4,16503165,16900424,0.034316706351699366,16701794.5
AP3D1,19,2100993,2151556,0.034309019326691725,2126274.5
TNKS,8,9413445,9639856,0.034288795266395056,9526650.5
STK33,11,8413418,8615503,0.03424300111525014,8514460.5
DCC,18,49866542,51062273,0.034185596369336935,50464407.5
C19orf20,19,507497,519654,0.0341519961293173,513575.5
COL28A1,7,7398244,7575460,0.0341506080855325,7486852.0
