lncRNA,pc,r,direction
CCL3-AS1,PISD,-0.815002449384272,neg
CCL3-AS1,TLR5,-0.814363529260161,neg
CCL3-AS1,IRAG1,-0.8142763612929068,neg
CCL3-AS1,HTATIP2,-0.8141591666628112,neg
CCL3-AS1,CANT1,-0.8136096792137758,neg
CCL3-AS1,SULT1B1,-0.8128172987490047,neg
CCL3-AS1,CCNDBP1,-0.8127920111323205,neg
CCL3-AS1,ROM1,-0.8123249997816673,neg
CCL3-AS1,C1RL,-0.8114974106891646,neg
CCL3-AS1,HRH2,-0.8113990256291639,neg
CCL3-AS1,CHRNA10,-0.8110372433794727,neg
CCL3-AS1,OPRL1,-0.8105961581881967,neg
CCL3-AS1,NMI,-0.8105836225225543,neg
CCL3-AS1,SNX11,-0.8094780221298311,neg
LINC02207,ECHDC3,0.9022277341090089,pos
LINC02207,DAAM2,0.8826143198278751,pos
LINC02207,FKBP5,0.8772082577508041,pos
LINC02207,SLC5A9,0.8758948103851374,pos
LINC02207,CLEC4E,0.8673927052924983,pos
LINC02207,OLAH,0.8670777885384424,pos
LINC02207,TPST1,0.8660060990582529,pos
LINC02207,IL1R2,0.8639772546111036,pos
LINC02207,SMAP2,0.8609107203629455,pos
LINC02207,IRAK3,0.8596722249334691,pos
LINC02207,GRB10,0.8587078696008517,pos
LINC02207,CEACAM4,0.8543695257696582,pos
LINC02207,KCNE1,0.8513633393318844,pos
LINC02207,IL18RAP,0.8473951183948483,pos
LINC02207,SPTLC2,0.8472277411961883,pos
LINC02207,TMIGD3,0.8414147585092246,pos
LINC02207,SIRT5,0.8397240213406807,pos
LINC02207,REPS2,0.8376635143310123,pos
LINC02207,ST6GALNAC3,0.8335741045179077,pos
LINC02207,RASGEF1A,0.8333168823672437,pos
LINC02207,IL18R1,0.8322933369497991,pos
LINC02207,RNF175,0.8300020490091833,pos
LINC02207,NUDT16,0.8298022283057482,pos
LINC02207,ITPKC,0.8291531790418468,pos
LINC02207,MACIR,0.8286193760795193,pos
LINC02207,IL1R1,0.8240120510768897,pos
LINC02207,ENTPD1,0.8231524456418433,pos
LINC02207,AMPH,0.8226378843557501,pos
LINC02207,CEBPD,0.8221640679493071,pos
LINC02207,RALB,0.8218985876331217,pos
LINC02207,KLHL8,0.8213148824422505,pos
LINC02207,ARHGEF40,0.8197588433106063,pos
LINC02207,ALOX15B,0.8193593445783884,pos
LINC02207,SORT1,0.8189435632716782,pos
LINC02207,TLR4,0.8118168892525232,pos
LINC02207,IL13RA1,0.8116921622373354,pos
LINC02207,MSL3,0.8091892683732684,pos
LINC02207,MAK,0.80536742159983,pos
LINC02207,ASPH,0.8046088394931474,pos
LINC02207,UBXN2B,0.8045511544270759,pos
LINC02207,IRS2,0.8027336941259656,pos
LINC02207,ARMC12,0.8014049107009433,pos
LINC02207,SLC8A1,0.8005926711252346,pos
LINC02207,MKNK1,0.8004623336083023,pos
LINC02207,RNF144B,0.7987238369872162,pos
LINC02207,MGAM,0.7975823255124619,pos
LINC02207,CSF2RA,0.7957645927186312,pos
LINC02207,SULT1B1,0.7945951235973434,pos
LINC02207,SSH2,0.7925949720755657,pos
LINC02207,KIF27,0.7897224414819589,pos
LINC02207,SSBP3,-0.7925967371948717,neg
LINC02207,CIZ1,-0.7917528486413618,neg
LINC02207,FLT3LG,-0.7899763756427775,neg
LINC02207,HIVEP3,-0.7806238994395142,neg
LINC02207,PLAAT4,-0.7780604219142362,neg
LINC02207,ADA,-0.774932765721491,neg
LINC02207,ABCF1,-0.7729185969445143,neg
LINC02207,SLAMF7,-0.7709520644964587,neg
LINC02207,RHOC,-0.7706129376055292,neg
LINC02207,ITGB7,-0.7700365967266385,neg
LINC02207,FBXW4,-0.7699252191993243,neg
LINC02207,TESK1,-0.760737429978591,neg
LINC02207,RMDN3,-0.7605246282686203,neg
LINC02207,ACOT7,-0.7601128368356718,neg
LINC02207,TNFRSF4,-0.7600255984642703,neg
LINC02207,RPL23A,-0.7589772471366205,neg
LINC02207,YARS1,-0.7573844017505668,neg
LINC02207,ATN1,-0.7571334169978275,neg
LINC02207,FOXP4,-0.7556654856231652,neg
LINC02207,RNF126,-0.7529648258173504,neg
LINC02207,KIF22,-0.7528510431038148,neg
LINC02207,TLE5,-0.7525057119256116,neg
LINC02207,HMGA1,-0.7524400029325846,neg
LINC02207,S1PR2,-0.7513588479642757,neg
LINC02207,VEGFB,-0.7481622907780456,neg
LINC02207,NBDY,-0.7478517490678266,neg
LINC02207,GBP4,-0.7477871663645536,neg
LINC02207,PARP3,-0.747210530976924,neg
LINC02207,PEA15,-0.7471624744442753,neg
LINC02207,RPLP2,-0.7469383621586426,neg
LINC02207,KARS1,-0.7466763130165712,neg
LINC02207,HLA-DPA1,-0.7455071701072812,neg
LINC02207,KLC2,-0.7444842334834547,neg
LINC02207,ESYT1,-0.7440695107825501,neg
LINC02207,HLA-DPB1,-0.7438617575409829,neg
LINC02207,FMNL3,-0.7430854432544396,neg
LINC02207,ENO2,-0.7420758874410827,neg
