geneid	chrm_probe	s1	s2
AP3M1	10	75880015	75910826
AP3M2	8	42010464	42028701
AP3S1	5	115177619	115249778
AP3S2+C15orf38+C15orf38-AP3S2	15	90373831	90456222
AP4B1	1	114437677	114447741
AP4E1	15	51200946	51298097
AP4M1	7	99699130	99704803
AP4S1	14	31494683	31562638
APAF1	12	99039078	99129211
APBA1	9	72042449	72287275
APBA2	15	29213840	29410516
APBA3	19	3750771	3761673
APBB1	11	6416355	6440644
APBB1IP	10	26727266	26856732
APBB2	4	40812044	41216635
APBB3	5	139937853	139944189
APC	5	112043202	112181936
APC2	19	1450148	1473243
APCDD1	18	10454625	10488698
APCDD1L	20	57034426	57089949
APCS	1	159557616	159558661
APEH	3	49711435	49720934
APEX1	14	20923290	20925926
APH1A	1	150237799	150241532
APH1B	15	63569749	63601325
API5	11	43333505	43366080
APIP	11	34903843	34937939
APLF	2	68694691	68807294
APLNR	11	57001052	57004927
APLP1	19	36359401	36370699
APLP2	11	129939716	130014706
APOA1	11	116706469	116708338
APOA1BP	1	156561558	156564091
APOA2	1	161192083	161193418
APOA4	11	116691418	116694011
APOA5	11	116660086	116663136
APOB	2	21224301	21266945
APOB48R	16	28505993	28510282
APOBEC1	12	7801996	7818502
APOBEC2	6	41020940	41032630
APOBEC3A+APOBEC3B	22	39353527	39388783
APOBEC3C	22	39410265	39414825
APOBEC3D	22	39417118	39429256
APOBEC3F	22	39436673	39451975
APOBEC3G	22	39473010	39483748
APOBEC3H	22	39493229	39500072
APOBEC4	1	183615411	183622448
APOC1	19	45417921	45422606
APOC1P1	19	45430060	45434643
APOC2	19	45449243	45452818
APOC3	11	116700624	116703787
APOC4	19	45445495	45448751
APOD	3	195295573	195311076
APOE	19	45409039	45412650
APOF	12	56754355	56756583
APOH	17	64208147	64225556
APOL1	22	36649117	36663577
APOL2	22	36622255	36636000
APOL3	22	36536371	36562225
APOL4	22	36585176	36600879
APOL5	22	36113919	36125529
APOL6	22	36044424	36064456
APOLD1	12	12878851	12944399
APOM	6	31623671	31625987
APP	21	27252861	27543138
APPBP2	17	58520520	58603580
APPL1	3	57261765	57307498
APPL2	12	105567075	105630008
APRT	16	88875877	88878342
APTX	9	32972604	33001639
AQP1	7	30951415	30965131
AQP10	1	154293592	154297801
AQP11	11	77300680	77321401
AQP12A	2	241631262	241637900
AQP12B	2	241615835	241622317
AQP2	12	50344524	50352664
AQP3	9	33441160	33447590
AQP4	18	24432008	24445716
AQP5	12	50355279	50359461
AQP6	12	50366620	50370922
AQP7	9	33384948	33402517
AQP7P1	9	67270215	67289492
AQP7P3	9	42858152	42893137
AQP8	16	25228285	25240253
AQP9	15	58430408	58478110
AQPEP	5	115298151	115363299
AQR	15	35148552	35261995
ARAP1	11	72396114	72463434
ARAP2	4	36067622	36245979
ARAP3	5	141032968	141061800
ARC	8	143692410	143695833
ARCN1	11	118443102	118473747
AREG	4	75310853	75490485
ARF1	1	228270361	228286913
ARF3	12	49329992	49351252
ARF4	3	57557090	57583215
ARF5	7	127228406	127231759
ARF6	14	50359736	50363772
ARFGAP1	20	61904165	61921142
ARFGAP2	11	47185852	47198419
ARFGAP3	22	43192532	43253408
ARFGEF1	8	68109897	68255912
ARFGEF2	20	47538275	47653230
ARFIP1	4	153701112	153833063
ARFIP2	11	6496926	6502595
ARFRP1	20	62329995	62339355
ARG1	6	131894365	131905468
ARG2	14	68086579	68118436
ARGFXP2	17	30477387	30478590
ARGLU1	13	107195662	107220514
ARHGAP1	11	46698632	46722120
ARHGAP10	4	148653453	148993927
ARHGAP11A	15	32907691	32931868
ARHGAP11B	15	30918879	30931013
ARHGAP12	10	32095225	32217770
ARHGAP15	2	143886899	144525921
ARHGAP17	16	24930712	25026675
ARHGAP18	6	129898240	130031370
ARHGAP19	10	98981930	99052413
ARHGAP20	11	110447766	110583451
ARHGAP21	10	24872538	25012597
ARHGAP22	10	49654079	49813138
ARHGAP23	17	36584720	36668628
ARHGAP24	4	86396284	86923823
ARHGAP25	2	68961913	69053957
ARHGAP26	5	142150292	142608572
ARHGAP27	17	43471268	43503012
