gene,mean_cpm,std_cpm,cv
SPG21,109.48617199338202,30.575982817938474,0.2792679866438902
TBC1D22A,46.03360944956918,12.860460142362735,0.2793711007269949
PLEKHM1,112.18442614905938,31.356340342887396,0.2795070708052136
RNF114,40.09282273389402,11.2119152194936,0.2796489360180463
NELFE,51.40073502748923,14.37639546010987,0.2796924100875472
TSC22D4,256.39145710079464,71.71265119136136,0.2796998464857942
GPKOW,20.899048022490664,5.850446434137935,0.2799384176658159
KHNYN,97.33475199267487,27.299983429687103,0.2804751938109589
PRCC,44.89116877223783,12.597111409430326,0.28061446725398675
UBE2I,48.8569986037989,13.722738659608058,0.2808755971870331
VPS4A,60.05042216749303,16.86964690532292,0.28092470121642094
C1orf43,94.02597232125133,26.453933031696618,0.2813470829242105
RXRB,62.822667143002306,17.683172373782455,0.2814775809108918
TAFAZZIN,84.70955446493666,23.847867742279096,0.2815251230267101
KPNA1,40.63466816206584,11.44094929151078,0.28155636083651797
RSU1,67.90002507097124,19.12094387177599,0.2816043713060515
PRKAB1,25.055786732044883,7.066007260032224,0.2820109915365465
APH1A,118.71766575610422,33.4822299936702,0.28203241514583616
GPR108,124.6358251528359,35.153777704885556,0.28205195144957634
ANAPC16,71.99483052048654,20.30748754890871,0.28206869023922626
CALM3,230.24313790285697,64.97123382754567,0.2821853212188153
RXRA,356.43987412722294,100.64223238119519,0.2823540228983284
STAMBP,19.838362727689073,5.60167121518879,0.2823656010367402
CASP9,18.441976558050687,5.209947332702843,0.28250482350973843
POLR2E,118.03286523478695,33.353565639642696,0.28257863242832343
CPNE1,188.91480193583695,53.398698464516265,0.282660214643491
TIMM17B,42.0329975888771,11.888969850595263,0.2828484888677404
ESS2,20.348923439371212,5.763438210526382,0.28323062041578323
PPP6R1,236.13934633062337,66.88339870622671,0.2832369943659535
MED8,18.34701416341303,5.196589048251366,0.28323895114302694
ANP32A,216.71391230778625,61.39858319051136,0.2833162972172756
PCBP2,537.2463227924997,152.2600377297412,0.2834082454735545
TMUB2,99.02010343659617,28.064283407779325,0.2834200574810472
IWS1,33.67234837256977,9.544196460573897,0.28344314910773516
PRKAG1,40.09455770287868,11.370355382593031,0.2835884976423289
DESI1,34.13764959698099,9.682438932283718,0.28362933730329215
RAC2,1304.2634256576325,370.80491481154104,0.284302164361141
USP7,86.13413093478556,24.49627711221692,0.2843968685394144
VIPAS39,25.692926883219517,7.310367585954909,0.28452840811723296
RRP36,22.34782053965497,6.362162414002097,0.2846882720716677
CAST,168.11826269673801,47.86302851614926,0.2846985672370854
AP1M1,91.7979906650764,26.160522833369537,0.2849792532912383
WWP2,113.31664024509898,32.29720664840538,0.28501733354031605
ZBTB48,53.43032942374781,15.233136858402979,0.28510280626554424
SERP1,160.29716049743914,45.71059692104421,0.28516161346335556
MARK3,124.68029593601351,35.56354305524648,0.28523787811265583
UQCRC2,78.86241846654197,22.49777499968093,0.28527878598125667
HDGFL2,40.398418733889805,11.52985580917672,0.28540364129411944
GATAD2A,147.01591588080262,42.04004518875619,0.2859557411650679
WASF2,283.28612915170874,81.0336825917423,0.28604888927811284
SCYL1,88.79603269454643,25.404108058719,0.28609507978929377
SRPRA,122.83954255946946,35.220642447034706,0.286720722929944
FAM98C,13.97754845547052,4.007836253474435,0.2867338479449772
OGFR,177.43343623981463,50.89667762386301,0.2868494163358947
STX6,40.711650917973834,11.686145159705665,0.2870467027547226
CDC42,377.7613519854887,108.49119126994582,0.28719505237823634
ASCC1,16.666162346688076,4.786609423031528,0.2872052559828046
VPS39,97.0892624397348,27.907896475448336,0.28744575634994973
FAM120AOS,36.19435849468026,10.410526900117668,0.28762844081482414
PSMD7,25.731536419848762,7.407712989355126,0.2878845968809299
ABHD4,60.46825357011521,17.40855274765564,0.28789574230831344
POLD4,85.29633977233898,24.562722066290284,0.2879692391473029
ARL8A,112.72359053119445,32.46361080666182,0.28799305144275045
BSDC1,73.60857074595447,21.2029446918081,0.2880499441428621
RPS6KB2,47.67854069667398,13.749628819566444,0.2883819139314725
ZFYVE1,29.18510435500137,8.424484822716185,0.2886570053080007
COPG1,95.20544925024728,27.498577502335582,0.28883407114707943
VAPB,19.995592195920146,5.776796808266556,0.28890351191725344
RBM10,73.34299140963616,21.21292988023804,0.28922913386173915
PDCD6IP,92.10517049338561,26.685729525327027,0.28973106919381275
NADSYN1,164.7595421261024,47.78097518827414,0.29000429699970826
MED28,48.93838497276534,14.197643082949151,0.2901126199986017
YME1L1,91.03905063227404,26.421463028615147,0.2902212055718487
DGAT1,82.75492280715976,24.037318391193637,0.29046390928557525
CDC37,124.40047422918231,36.14687050939387,0.29056859094283427
SRSF9,34.549262292096294,10.042102625065882,0.2906604065859657
PABPN1,140.4053909442572,40.839403348968744,0.29086777277079434
UBXN1,114.43158564913516,33.28541840480093,0.290876144169313
EMC4,16.309526516829777,4.747799198559197,0.29110588793978476
LRSAM1,40.8273383905612,11.889885763030769,0.2912236318049959
TYK2,333.98218687913777,97.3201331061351,0.2913931848148342
SETDB1,30.892070918390807,9.002859903141166,0.29142947156001586
SCAMP2,119.15959924305541,34.738207942977716,0.2915267268742703
RAB8A,38.27104767270428,11.159871514955869,0.29160088875526985
POLDIP3,51.76025819796234,15.09481256147854,0.2916293907141441
DPF2,50.353176012441345,14.686938392646878,0.29167849092613357
BCL2L13,29.706496373625818,8.665302060771847,0.29169720830710694
EMC8,13.77070308633775,4.017179546447648,0.2917192768779678
