gene,train_std,hdr90_coverage
ENSG00000296888,1.180686853371553,0.84
VPS13D,0.5634417086150645,0.9
DHRS3,1.35344962795317,0.9
PRDM2,0.6789500042955099,0.84
KAZN,1.0762210017112428,0.84
TMEM51,0.8347265949154351,0.92
EFHD2-AS1,0.6437822168326223,0.96
EFHD2,0.7611126353771088,0.92
CTRC,0.6166552767202997,0.98
CASP9,0.4066861121807771,0.92
DNAJC16,0.605194480662177,0.88
AGMAT,0.7220799729671323,0.9
DDI2,0.728778902330133,0.86
PLEKHM2,0.46119511220864723,0.92
SLC25A34,0.5845735738150796,0.88
FBLIM1,0.5582524175313173,0.92
SPEN-AS1,0.595495467285096,0.94
UQCRHL,0.44017822551584135,0.88
SPEN,0.6836435239550855,0.82
ZBTB17,0.47939571132121955,0.92
HSPB7,1.178967870567517,0.84
ARHGEF19,0.7192318124819638,0.94
ENSG00000291077,0.5656968731542861,0.92
ENSG00000288398,0.45332039232674864,0.88
CPLANE2,0.34804590249191036,0.88
ENSG00000293791,0.41988945505745534,0.94
FBXO42,0.3954307818947425,0.92
SZRD1,0.3989911499236016,0.92
NECAP2,0.46361415073555173,0.9
CROCCP3,0.5498836027026194,0.82
LINC01772,0.4644962841365825,0.92
NBPF1,0.6347413700112339,0.82
ENSG00000291072,0.794693185360131,0.9
MST1P2,0.4755099210067845,0.86
CROCC,1.0235415041463574,0.8
ENSG00000238142,0.42703234539038215,0.86
ATP13A2,0.651343669926721,0.86
SDHB,0.5429986395792714,0.86
PADI2,1.081691647773062,0.86
PADI4,0.777891736272309,0.9
RCC2,0.7471024475954549,0.84
ARHGEF10L,0.9606295559722735,0.86
ALDH4A1,0.6110015162922319,0.9
IFFO2,0.8389744065639558,0.92
ENSG00000272084,0.45687745184930423,0.88
UBR4,0.5139494735666493,0.9
EMC1,0.7664947200914196,0.92
MRTO4,0.6463052027141177,0.92
AKR7A3,0.7402800222158891,0.9
AKR7A2,0.6438318423668352,0.94
SLC66A1,0.48356311686268105,1.0
CAPZB,0.36744027089663844,0.88
MICOS10,0.45579659368918385,0.88
NBL1,0.8499392667880756,0.94
ENSG00000226396,0.5925982896618022,0.92
TMCO4,0.8572573597426116,0.94
OTUD3,0.7137860589521879,0.9
PLA2G2A,1.4621901035800628,0.92
UBXN10,0.6128131989531052,0.9
CAMK2N1,0.8543596186821055,0.82
MUL1,0.8265608267638388,0.9
CDA,0.7811453032348332,0.9
PINK1,0.6824536543064339,0.92
